종목명,종목코드,시가총액_억원,시장구분
하나마이크론,067310,6912,코스닥
DI동일,001530,6873,유가증권
녹십자홀딩스,005250,6857,유가증권
삼양홀딩스,000070,6848,유가증권
SAMG엔터,419530,6841,코스닥
KG모빌리티,003620,6840,유가증권
LS머트리얼즈,417200,6826,코스닥
솔루스첨단소재,336370,6825,유가증권
ACE 미국빅테크TOP7 Plus,465580,6812,ETF
신한알파리츠,293940,6809,유가증권
한화리츠,451800,6789,유가증권
덴티움,145720,6774,유가증권
PLUS 200,152100,6768,ETF
피에스케이홀딩스,031980,6706,코스닥
유안타증권,003470,6647,유가증권
코나아이,052400,6619,코스닥
TIGER 머니마켓액티브,0043B0,6617,ETF
아난티,025980,6612,코스닥
현대홈쇼핑,057050,6588,유가증권
넥센타이어,002350,6583,유가증권
HLB테라퓨틱스,115450,6564,코스닥
비츠로셀,082920,6553,코스닥
KODEX 미국빅테크10(H),314250,6551,ETF
NHN,181710,6510,유가증권
N2 코스피 변동성 매칭형 양매도 ETN,550057,6506,ETN
TKG휴켐스,069260,6459,유가증권
키움 CD금리투자 ETN,760009,6454,ETN
태성,323280,6451,코스닥
TIGER 리츠부동산인프라,329200,6451,ETF
GS피앤엘,499790,6445,유가증권
다우데이타,032190,6431,코스닥
엘앤씨바이오,290650,6420,코스닥
아이에스동서,010780,6385,유가증권
인투셀,287840,6354,코스닥
세진중공업,075580,6350,유가증권
금양,001570,6333,유가증권
ACE 미국배당다우존스,402970,6274,ETF
LG전자우,066575,6256,유가증권
비올,335890,6251,코스닥
HLB제약,047920,6243,코스닥
신풍제약,019170,6236,유가증권
LX홀딩스,383800,6224,유가증권
솔브레인홀딩스,036830,6195,코스닥
카프로,006380,6185,유가증권
KODEX 반도체,091160,6182,ETF
KODEX 단기채권,153130,6138,ETF
KODEX 미국30년국채타겟커버드콜(합성 H),481060,6127,ETF
유니드,014830,6125,유가증권
한국단자,025540,6069,유가증권
TIGER Fn반도체TOP10,396500,6066,ETF
HJ중공업,097230,6029,유가증권
휴메딕스,200670,6008,코스닥
휴온스글로벌,084110,6002,코스닥
LS마린솔루션,060370,5995,코스닥
나노신소재,121600,5977,코스닥
엠로,058970,5976,코스닥
한글과컴퓨터,030520,5960,코스닥
KG스틸,016380,5941,유가증권
KODEX MSCI Korea TR,278540,5940,ETF
코미코,183300,5931,코스닥
F&F홀딩스,007700,5930,유가증권
아세아,002030,5929,유가증권
쿠쿠홈시스,284740,5901,유가증권
한화3우B,00088K,5899,유가증권
아이쓰리시스템,214430,5899,코스닥
바이넥스,053030,5890,코스닥
KODEX 국고채30년액티브,439870,5879,ETF
KODEX 인버스,114800,5872,ETF
HD현대에너지솔루션,322000,5846,유가증권
